投放渠道,总线索数,成交线索数,渠道总投放成本,渠道总收入,线索转化率,CAC单线索获客成本,成交CAC获客成本,ROI投资回报率
direct_traffic,499,195,,29204.97,0.3907815631262525,,,
display,118,7,22000.0,1207.95,0.059322033898305086,186.4406779661017,3142.8571428571427,0.05490681818181818
email,493,22,18000.0,9122.41,0.04462474645030426,36.511156186612574,818.1818181818181,0.5068005555555556
organic_search,2296,1232,28000.0,258211.06,0.5365853658536586,12.195121951219512,22.727272727272727,9.22182357142857
other,150,89,,8766.63,0.5933333333333334,,,
other_publicities,65,0,,0.0,0.0,,,
paid_search,1586,1308,45000.0,204370.18,0.8247162673392182,28.373266078184113,34.403669724770644,4.541559555555556
referral,284,69,,19748.24,0.24295774647887325,,,
social,1350,394,32000.0,52759.29,0.29185185185185186,23.703703703703702,81.21827411167513,1.6487278125
unknown,1159,1299,12000.0,248458.26,1.1207937877480587,10.353753235547886,9.237875288683602,20.704855000000002
